name,score_calc,pos_calc,match,name_lower,score_excel,pos_excel,pos_match,diff,abs_diff
Ibrahima Konaté,15,DEF,Liverpool vs PSV,ibrahima konaté,9,DEF,True,6,6
Virgil van Dijk,11,DEF,Liverpool vs PSV,virgil van dijk,14,DEF,True,-3,3
Ryan Gravenberch,25,MID,Liverpool vs PSV,ryan gravenberch,24,MID,True,1,1
Alexis Mac Allister,29,MID,Liverpool vs PSV,alexis mac allister,27,MID,True,2,2
Mohamed Salah,40,FWD,Liverpool vs PSV,mohamed salah,41,FWD,True,-1,1
Dominik Szoboszlai,54,MID,Liverpool vs PSV,dominik szoboszlai,58,MID,True,-4,4
Cody Gakpo,44,FWD,Liverpool vs PSV,cody gakpo,47,FWD,True,-3,3
Alexander Isak,14,FWD,Liverpool vs PSV,alexander isak,11,FWD,True,3,3
Federico Chiesa,12,FWD,Liverpool vs PSV,federico chiesa,11,MID,False,1,1
Sergiño Dest,37,DEF,Liverpool vs PSV,sergiño dest,32,DEF,True,5,5
Jerdy Schouten,42,DEF,Liverpool vs PSV,jerdy schouten,44,DEF,True,-2,2
Yarek Gasiorowski,32,DEF,Liverpool vs PSV,yarek gasiorowski,35,DEF,True,-3,3
Anass Salah-Eddine,35,DEF,Liverpool vs PSV,anass salah-eddine,35,DEF,True,0,0
Dennis Man,25,FWD,Liverpool vs PSV,dennis man,22,MID,False,3,3
Mauro Júnior,34,MID,Liverpool vs PSV,mauro júnior,36,MID,True,-2,2
Joey Veerman,34,MID,Liverpool vs PSV,joey veerman,31,MID,True,3,3
Ivan Perišić,35,FWD,Liverpool vs PSV,ivan perišić,27,MID,False,8,8
Ismael Saibari,23,MID,Liverpool vs PSV,ismael saibari,33,FWD,False,-10,10
Guus Til,28,FWD,Liverpool vs PSV,guus til,31,FWD,True,-3,3
Ricardo Pepi,19,FWD,Liverpool vs PSV,ricardo pepi,26,FWD,True,-7,7
Couhaib Driouech,43,FWD,Liverpool vs PSV,couhaib driouech,42,MID,False,1,1
Rodinei,24,DEF,Olympiacos vs Real Madrid,rodinei,23,DEF,True,1,1
Panagiotis Retsos,3,DEF,Olympiacos vs Real Madrid,panagiotis retsos,3,DEF,True,0,0
Lorenzo Pirola,13,DEF,Olympiacos vs Real Madrid,lorenzo pirola,13,DEF,True,0,0
Francisco Ortega,6,DEF,Olympiacos vs Real Madrid,francisco ortega,6,DEF,True,0,0
Dani García,16,MID,Olympiacos vs Real Madrid,dani garcía,17,MID,True,-1,1
Christos Mouzakitis,31,MID,Olympiacos vs Real Madrid,christos mouzakitis,30,MID,True,1,1
Gelson Martins,42,FWD,Olympiacos vs Real Madrid,gelson martins,37,FWD,True,5,5
Chiquinho,21,MID,Olympiacos vs Real Madrid,chiquinho,22,MID,True,-1,1
Daniel Podence,29,FWD,Olympiacos vs Real Madrid,daniel podence,30,FWD,True,-1,1
Ayoub El Kaabi,57,FWD,Olympiacos vs Real Madrid,ayoub el kaabi,58,FWD,True,-1,1
Mehdi Taremi,32,FWD,Olympiacos vs Real Madrid,mehdi taremi,23,MID,False,9,9
Santiago Hezze,32,MID,Olympiacos vs Real Madrid,santiago hezze,31,MID,True,1,1
Giulian Biancone,19,DEF,Olympiacos vs Real Madrid,giulian biancone,20,DEF,True,-1,1
Costinha,10,DEF,Olympiacos vs Real Madrid,costinha,11,DEF,True,-1,1
Gabriel Strefezza,24,MID,Olympiacos vs Real Madrid,gabriel strefezza,25,FWD,False,-1,1
Trent Alexander-Arnold,20,DEF,Olympiacos vs Real Madrid,trent alexander-arnold,18,DEF,True,2,2
Raúl Asencio,15,DEF,Olympiacos vs Real Madrid,raúl asencio,17,DEF,True,-2,2
Álvaro Carreras,23,DEF,Olympiacos vs Real Madrid,álvaro carreras,24,DEF,True,-1,1
Ferland Mendy,18,DEF,Olympiacos vs Real Madrid,ferland mendy,18,DEF,True,0,0
Aurélien Tchouaméni,52,MID,Olympiacos vs Real Madrid,aurélien tchouaméni,54,MID,True,-2,2
Eduardo Camavinga,39,MID,Olympiacos vs Real Madrid,eduardo camavinga,41,MID,True,-2,2
Federico Valverde,11,DEF,Olympiacos vs Real Madrid,federico valverde,36,FWD,False,-25,25
Arda Güler,28,MID,Olympiacos vs Real Madrid,arda güler,27,MID,True,1,1
Kylian Mbappé,78,FWD,Olympiacos vs Real Madrid,kylian mbappé,79,FWD,True,-1,1
Dani Ceballos,14,MID,Olympiacos vs Real Madrid,dani ceballos,9,MID,True,5,5
Jude Bellingham,14,MID,Olympiacos vs Real Madrid,jude bellingham,10,MID,True,4,4
Brahim Díaz,2,MID,Olympiacos vs Real Madrid,brahim díaz,3,FWD,False,-1,1
Warren Zaïre-Emery,27,MID,PSG vs Tottenham,warren zaïre-emery,13,DEF,False,14,14
Marquinhos,19,DEF,PSG vs Tottenham,marquinhos,18,DEF,True,1,1
Willian Pacho,29,DEF,PSG vs Tottenham,willian pacho,29,DEF,True,0,0
Nuno Mendes,15,DEF,PSG vs Tottenham,nuno mendes,13,DEF,True,2,2
João Neves,45,MID,PSG vs Tottenham,joão neves,46,MID,True,-1,1
Vitinha,70,MID,PSG vs Tottenham,vitinha,61,MID,True,9,9
Khvicha Kvaratskhelia,67,FWD,PSG vs Tottenham,khvicha kvaratskhelia,65,FWD,True,2,2
Bradley Barcola,14,FWD,PSG vs Tottenham,bradley barcola,15,FWD,True,-1,1
Lucas Hernández,8,DEF,PSG vs Tottenham,lucas hernández,3,DEF,True,5,5
Gonçalo Ramos,7,FWD,PSG vs Tottenham,gonçalo ramos,7,FWD,True,0,0
Ousmane Dembélé,7,FWD,PSG vs Tottenham,ousmane dembélé,7,FWD,True,0,0
Pedro Porro,10,DEF,PSG vs Tottenham,pedro porro,14,DEF,True,-4,4
Cristian Romero,-5,DEF,PSG vs Tottenham,cristian romero,-3,DEF,True,-2,2
Micky van de Ven,2,DEF,PSG vs Tottenham,micky van de ven,1,DEF,True,1,1
Djed Spence,-1,DEF,PSG vs Tottenham,djed spence,2,DEF,True,-3,3
Rodrigo Bentancur,30,MID,PSG vs Tottenham,rodrigo bentancur,38,MID,True,-8,8
Archie Gray,1,DEF,PSG vs Tottenham,archie gray,11,MID,False,-10,10
Pape Matar Sarr,29,MID,PSG vs Tottenham,pape matar sarr,17,MID,True,12,12
Lucas Bergvall,13,MID,PSG vs Tottenham,lucas bergvall,9,MID,True,4,4
Richarlison,35,FWD,PSG vs Tottenham,richarlison,35,FWD,True,0,0
Randal Kolo Muani,59,FWD,PSG vs Tottenham,randal kolo muani,59,FWD,True,0,0
João Palhinha,3,MID,PSG vs Tottenham,joão palhinha,3,MID,True,0,0
Mohammed Kudus,18,MID,PSG vs Tottenham,mohammed kudus,16,FWD,False,2,2
Xavi Simons,6,MID,PSG vs Tottenham,xavi simons,5,MID,True,1,1
Destiny Udogie,11,DEF,PSG vs Tottenham,destiny udogie,11,DEF,True,0,0
Wilson Odobert,5,FWD,PSG vs Tottenham,wilson odobert,5,FWD,True,0,0
Iván Fresneda,29,DEF,Sporting vs Club Brugge,iván fresneda,32,DEF,True,-3,3
Ousmane Diomande,35,DEF,Sporting vs Club Brugge,ousmane diomande,36,DEF,True,-1,1
Gonçalo Inácio,24,DEF,Sporting vs Club Brugge,gonçalo inácio,19,DEF,True,5,5
Maximiliano Araújo,46,DEF,Sporting vs Club Brugge,maximiliano araújo,44,DEF,True,2,2
Morten Hjulmand,45,MID,Sporting vs Club Brugge,morten hjulmand,43,MID,True,2,2
João Simões,12,MID,Sporting vs Club Brugge,joão simões,11,MID,True,1,1
Geny Catamo,41,FWD,Sporting vs Club Brugge,geny catamo,53,FWD,True,-12,12
Francisco Trincão,43,MID,Sporting vs Club Brugge,francisco trincão,43,MID,True,0,0
Geovany Quenda,53,FWD,Sporting vs Club Brugge,geovany quenda,55,FWD,True,-2,2
Luis Javier Suárez,51,FWD,Sporting vs Club Brugge,luis javier suárez,42,FWD,True,9,9
Hidemasa Morita,11,MID,Sporting vs Club Brugge,hidemasa morita,12,MID,True,-1,1
Salvador Blopa,8,MID,Sporting vs Club Brugge,salvador blopa,8,FWD,False,0,0
Alisson Santos,15,FWD,Sporting vs Club Brugge,alisson santos,14,FWD,True,1,1
Matheus Reis,13,DEF,Sporting vs Club Brugge,matheus reis,12,DEF,True,1,1
Rodrigo Ribeiro,11,FWD,Sporting vs Club Brugge,rodrigo ribeiro,11,FWD,True,0,0
Hugo Siquet,16,DEF,Sporting vs Club Brugge,hugo siquet,11,DEF,True,5,5
Joel Ordóñez,15,DEF,Sporting vs Club Brugge,joel ordóñez,18,DEF,True,-3,3
Brandon Mechele,20,DEF,Sporting vs Club Brugge,brandon mechele,21,DEF,True,-1,1
Joaquin Seys,16,DEF,Sporting vs Club Brugge,joaquin seys,15,DEF,True,1,1
Aleksandar Stanković,11,MID,Sporting vs Club Brugge,aleksandar stanković,11,MID,True,0,0
Raphael Onyedika,20,MID,Sporting vs Club Brugge,raphael onyedika,21,MID,True,-1,1
Carlos Forbs,14,FWD,Sporting vs Club Brugge,carlos forbs,14,FWD,True,0,0
Hans Vanaken,22,MID,Sporting vs Club Brugge,hans vanaken,21,MID,True,1,1
Christos Tzolis,21,FWD,Sporting vs Club Brugge,christos tzolis,21,FWD,True,0,0
Romeo Vermant,12,FWD,Sporting vs Club Brugge,romeo vermant,13,FWD,True,-1,1
Hugo Vetlesen,12,MID,Sporting vs Club Brugge,hugo vetlesen,12,MID,True,0,0
Mamadou Diakhon,5,FWD,Sporting vs Club Brugge,mamadou diakhon,7,MID,False,-2,2
Zaid Romero,10,DEF,Sporting vs Club Brugge,zaid romero,10,DEF,True,0,0
Jorne Spileers,11,DEF,Sporting vs Club Brugge,jorne spileers,13,DEF,True,-2,2
