Match_ID,Round,Match,Team,Player,Calculated_Score,Saves,Claims,Sweeper,Goals_Prevented,Minutes
14566865,Round 5,olympiacos-fc-real-madrid,Real Madrid,Andriy Lunin,22,5,0,1,-0.3555,90
14566658,Round 5,paris-saint-germain-tottenham-hotspur,Paris Saint-Germain,Lucas Chevalier,16,1,0,0,-0.3489,90
14566658,Round 5,paris-saint-germain-tottenham-hotspur,Tottenham Hotspur,Guglielmo Vicario,11,1,0,1,-2.332,90
14566855,Round 5,sporting-club-brugge-kv,Sporting CP,Rui Silva,36,1,1,0,0.0086,90
14566855,Round 5,sporting-club-brugge-kv,Club Brugge KV,Nordin Jackers,23,6,0,0,-0.1638,90
14566985,Round 6,kairat-almaty-olympiacos-fc,Kairat Almaty,Temirlan Anarbekov,40,8,1,1,1.0288,90
14566985,Round 6,kairat-almaty-olympiacos-fc,Olympiacos FC,Konstantinos Tzolakis,48,1,3,1,0.1485,90
14566572,Round 6,sporting-fc-bayern-munchen,FC Bayern München,Manuel Neuer,33,1,1,0,0.0,90
14566572,Round 6,sporting-fc-bayern-munchen,Sporting CP,Rui Silva,32,7,1,0,0.7892,90
14566928,Round 6,galatasaray-as-monaco,AS Monaco,Lukáš Hrádecký,32,2,1,1,0.0523,90
14566928,Round 6,galatasaray-as-monaco,Galatasaray,Uğurcan Çakır,40,4,0,0,1.7842,68
14566928,Round 6,galatasaray-as-monaco,Galatasaray,Günay Güvenç,24,0,0,0,-0.1192,22
14566726,Round 6,atalanta-chelsea,Atalanta,Marco Carnesecchi,38,4,1,2,-0.0246,90
14566726,Round 6,atalanta-chelsea,Chelsea,Robert Sánchez,30,2,1,0,-0.2729,90
14566651,Round 6,barcelona-eintracht-frankfurt,Barcelona,Joan García,43,3,2,1,0.0643,90
14566651,Round 6,barcelona-eintracht-frankfurt,Eintracht Frankfurt,Michael Zetterer,19,5,1,1,-0.4558,90
14566611,Round 6,inter-liverpool,Inter,Yann Sommer,59,4,2,1,0.182,90
14566611,Round 6,inter-liverpool,Liverpool,Alisson,40,2,3,0,0.0946,90
14566892,Round 6,psv-eindhoven-atletico-madrid,PSV Eindhoven,Matěj Kovář,22,6,0,0,-0.3768,90
14566892,Round 6,psv-eindhoven-atletico-madrid,Atlético Madrid,Jan Oblak,39,1,1,1,0.0872,90
14566951,Round 6,royale-union-saint-gilloise-olympique-de-marseille,Royale Union Saint-Gilloise,Kjell Scherpen,12,2,0,0,-0.6976,90
14566951,Round 6,royale-union-saint-gilloise-olympique-de-marseille,Olympique de Marseille,Gerónimo Rulli,20,4,0,1,-0.9335,90
14566828,Round 6,sk-slavia-praha-tottenham-hotspur,Tottenham Hotspur,Guglielmo Vicario,38,5,1,0,1.2361,90
14566828,Round 6,sk-slavia-praha-tottenham-hotspur,SK Slavia Praha,Jindřich Staněk,49,8,4,1,-0.2055,90
14566921,Round 6,qarabag-afc-ajax,Qarabağ FK,Mateusz Kochalski,8,4,0,1,-1.1568,90
14566921,Round 6,qarabag-afc-ajax,AFC Ajax,Vítězslav Jaroš,24,4,0,2,-1.165,90
14566784,Round 6,villarreal-fc-kobenhavn,Villarreal,Luiz Júnior,26,1,1,1,-0.7994,90
14566784,Round 6,villarreal-fc-kobenhavn,FC København,Dominik Kotarski,19,3,0,0,0.3379,90
14566908,Round 6,athletic-club-paris-saint-germain,Athletic Club,Unai Simón,37,4,0,0,1.7659,90
14566908,Round 6,athletic-club-paris-saint-germain,Paris Saint-Germain,Matvey Safonov,50,1,1,2,0.7728,90
14566707,Round 6,bayer-04-leverkusen-newcastle-united,Bayer 04 Leverkusen,Mark Flekken,23,4,0,0,0.4453,90
14566707,Round 6,bayer-04-leverkusen-newcastle-united,Newcastle United,Aaron Ramsdale,28,6,1,0,0.3558,90
14566737,Round 6,benfica-napoli,Benfica,Anatoliy Trubin,27,2,1,0,0.1799,90
14566737,Round 6,benfica-napoli,Napoli,Vanja Milinković-Savić,25,3,0,0,0.2408,90
14566621,Round 6,borussia-dortmund-bodoglimt,Borussia Dortmund,Gregor Kobel,18,2,0,0,-0.9255,90
14566621,Round 6,borussia-dortmund-bodoglimt,Bodø/Glimt,Nikita Haikin,36,7,1,1,0.3077,90
14566746,Round 6,club-brugge-kv-arsenal,Club Brugge KV,Dani van den Heuvel,23,7,1,0,0.9586,90
14566746,Round 6,club-brugge-kv-arsenal,Arsenal,David Raya,29,7,0,0,1.1498,90
14566767,Round 6,pafos-fc-juventus,Juventus,Michele Di Gregorio,52,4,3,0,0.2798,90
14566767,Round 6,pafos-fc-juventus,Pafos FC,Neofytos Michael,23,3,1,0,-0.5443,90
14566595,Round 6,real-madrid-manchester-city,Real Madrid,Thibaut Courtois,36,6,0,1,1.0293,90
14566595,Round 6,real-madrid-manchester-city,Manchester City,Gianluigi Donnarumma,18,0,0,0,-0.8704,90
14566984,Round 7,kairat-almaty-club-brugge-kv,Kairat Almaty,Temirlan Anarbekov,18,2,0,2,-0.7778,90
14566984,Round 7,kairat-almaty-club-brugge-kv,Club Brugge KV,Nordin Jackers,12,1,1,0,-0.9325,90
14566841,Round 7,bodoglimt-manchester-city,Bodø/Glimt,Nikita Haikin,16,4,0,0,-0.4111,90
14566841,Round 7,bodoglimt-manchester-city,Manchester City,Gianluigi Donnarumma,18,2,0,0,-0.4886,90
