name,name_lower,excel_pos,sofascore_pos,whoscored_pos,sofascore_correct,whoscored_correct
Mason Greenwood,mason greenwood,MID,MID,MID,True,True
Ulisses Garcia,ulisses garcia,DEF,DEF,DEF,True,True
Nayef Aguerd,nayef aguerd,DEF,DEF,DEF,True,True
Benjamin Pavard,benjamin pavard,DEF,DEF,DEF,True,True
Ademola Lookman,ademola lookman,FWD,FWD,FWD,True,True
Charles De Ketelaere,charles de ketelaere,FWD,FWD,FWD,True,True
Davide Zappacosta,davide zappacosta,MID,MID,DEF,True,False
Marten de Roon,marten de roon,MID,MID,MID,True,True
Éderson,éderson,MID,MID,MID,True,True
Raoul Bellanova,raoul bellanova,MID,MID,DEF,True,False
Honest Ahanor,honest ahanor,DEF,DEF,DEF,True,True
Berat Djimsiti,berat djimsiti,DEF,DEF,DEF,True,True
Odilon Kossounou,odilon kossounou,DEF,DEF,DEF,True,True
Wout Weghorst,wout weghorst,FWD,FWD,FWD,True,True
Mika Godts,mika godts,FWD,MID,MID,False,False
Youri Regeer,youri regeer,FWD,MID,MID,False,False
Oscar Gloukh,oscar gloukh,MID,MID,MID,True,True
Jorthy Mokio,jorthy mokio,MID,MID,MID,True,True
Davy Klaassen,davy klaassen,MID,MID,MID,True,True
Owen Wijndal,owen wijndal,DEF,DEF,DEF,True,True
Youri Baas,youri baas,DEF,DEF,DEF,True,True
Anton Gaaei,anton gaaei,DEF,DEF,DEF,True,True
Victor Osimhen,victor osimhen,FWD,FWD,FWD,True,True
Roland Sallai,roland sallai,FWD,MID,MID,False,False
Leroy Sané,leroy sané,FWD,MID,MID,False,False
Gabriel Sara,gabriel sara,MID,MID,MID,True,True
Mario Lemina,mario lemina,MID,MID,MID,True,True
Lucas Torreira,lucas torreira,MID,MID,MID,True,True
Ismail Jakobs,ismail jakobs,DEF,DEF,DEF,True,True
Davinson Sánchez,davinson sánchez,DEF,DEF,DEF,True,True
Wilfried Singo,wilfried singo,DEF,DEF,DEF,True,True
Lautaro Martínez,lautaro martínez,FWD,FWD,FWD,True,True
Nicolò Barella,nicolò barella,MID,MID,MID,True,True
Davide Frattesi,davide frattesi,MID,MID,MID,True,True
Federico Dimarco,federico dimarco,DEF,MID,DEF,False,True
Denzel Dumfries,denzel dumfries,DEF,MID,DEF,False,True
Carlos Augusto,carlos augusto,DEF,DEF,DEF,True,True
Stefan de Vrij,stefan de vrij,DEF,DEF,DEF,True,True
Ofri Arad,ofri arad,MID,MID,MID,True,True
Damir Kasabulat,damir kasabulat,MID,MID,MID,True,True
Luís Mata,luís mata,DEF,DEF,DEF,True,True
Aleksandr Shirobokov,aleksandr shirobokov,DEF,DEF,DEF,True,True
Christos Tzolis,christos tzolis,FWD,MID,MID,False,False
Carlos Forbs,carlos forbs,FWD,MID,MID,False,False
Hans Vanaken,hans vanaken,MID,MID,MID,True,True
Raphael Onyedika,raphael onyedika,MID,MID,MID,True,True
Joaquin Seys,joaquin seys,DEF,DEF,DEF,True,True
Brandon Mechele,brandon mechele,DEF,DEF,DEF,True,True
Joel Ordóñez,joel ordóñez,DEF,DEF,DEF,True,True
Kyriani Sabbe,kyriani sabbe,DEF,DEF,DEF,True,True
Marcus Rashford,marcus rashford,FWD,MID,MID,False,False
Lamine Yamal,lamine yamal,FWD,MID,MID,False,False
Frenkie de Jong,frenkie de jong,MID,MID,MID,True,True
Alejandro Balde,alejandro balde,DEF,DEF,DEF,True,True
Eric García,eric garcía,DEF,DEF,DEF,True,True
Jules Koundé,jules koundé,DEF,DEF,DEF,True,True
Abdellah Zoubir,abdellah zoubir,MID,MID,MID,True,True
Kady Borges,kady borges,FWD,MID,MID,False,False
Leandro Andrade,leandro andrade,FWD,MID,MID,False,False
Pedro Bicalho,pedro bicalho,MID,MID,MID,True,True
Kevin Medina,kevin medina,DEF,DEF,DEF,True,True
Matheus Silva,matheus silva,DEF,DEF,DEF,True,True
Tyrique George,tyrique george,FWD,FWD,FWD,True,True
Jamie Gittens,jamie gittens,FWD,MID,MID,False,False
João Pedro,joão pedro,MID,MID,MID,True,True
Roméo Lavia,roméo lavia,MID,MID,MID,True,True
Andrey Santos,andrey santos,MID,MID,MID,True,True
Marc Cucurella,marc cucurella,DEF,DEF,DEF,True,True
Jorrel Hato,jorrel hato,DEF,DEF,DEF,True,True
Tosin Adarabioyo,tosin adarabioyo,DEF,DEF,DEF,True,True
Reece James,reece james,DEF,DEF,DEF,True,True
